Country,Clicks,Impressions,CTR,Position
United Kingdom,43,4324,0.99%,27.18
Portugal,1,3,33.33%,2.33
China,1,2,50%,1.5
United States,0,91,0%,10.66
India,0,25,0%,24.2
Brazil,0,24,0%,21.79
Italy,0,10,0%,4.6
Canada,0,10,0%,4.9
Philippines,0,9,0%,2.44
Malaysia,0,8,0%,4.88
Spain,0,8,0%,7.75
Colombia,0,5,0%,4.2
Australia,0,5,0%,5.2
United Arab Emirates,0,5,0%,8.4
Turkey,0,5,0%,9.4
Indonesia,0,5,0%,14.6
Egypt,0,5,0%,34.2
Singapore,0,4,0%,1
France,0,4,0%,6.25
Ireland,0,4,0%,8
Guatemala,0,4,0%,8.25
Belgium,0,4,0%,9.5
Vietnam,0,4,0%,21.5
Pakistan,0,3,0%,4.33
Bangladesh,0,3,0%,6.67
Germany,0,3,0%,7
Hong Kong,0,3,0%,7
Greece,0,3,0%,7.67
Mexico,0,3,0%,14.67
Saudi Arabia,0,3,0%,22.33
Chile,0,3,0%,30
Japan,0,3,0%,39.33
Denmark,0,2,0%,4
Netherlands,0,2,0%,5.5
Israel,0,2,0%,9
Poland,0,2,0%,9
Argentina,0,2,0%,12.5
Nigeria,0,2,0%,31.5
Kazakhstan,0,2,0%,47
Russia,0,2,0%,62
Algeria,0,2,0%,66
Switzerland,0,1,0%,1
Czechia,0,1,0%,1
Dominican Republic,0,1,0%,1
Puerto Rico,0,1,0%,1
Thailand,0,1,0%,2
Austria,0,1,0%,3
Kenya,0,1,0%,3
Seychelles,0,1,0%,3
Ukraine,0,1,0%,3
Ecuador,0,1,0%,4
Mozambique,0,1,0%,4
Malawi,0,1,0%,4
Cuba,0,1,0%,9
Lithuania,0,1,0%,9
Hungary,0,1,0%,10
Venezuela,0,1,0%,10
Cyprus,0,1,0%,11
South Africa,0,1,0%,11
Morocco,0,1,0%,14
Taiwan,0,1,0%,22
Uruguay,0,1,0%,29
Congo - Kinshasa,0,1,0%,44